,client_id,stats_timestamp,total_attached_user,total_rejected_user,peak_upload_speed,peak_download_speed,enodeb_shutdown_count,handover_failure_count,bearer_active_user_count,bearer_rejected_user_count,total_users,total_dropped_packets,enodeb_connected_count,enodeb_connection_status,Z-score_peak_upload_speed,label_Z-score_peak_upload_speed,label_outlierpeak_upload_speed,label_outlier_peak_upload_speed,timestamp,Z-score_total_attached_user,label_Z-score_total_attached_user,label_outlier_total_attached_user,Z-score_handover_failure_count,label_Z-score_handover_failure_count,label_outlier_handover_failure_count,Z-score_bearer_active_user_count,label_Z-score_bearer_active_user_count,label_outlier_bearer_active_user_count,Z-score_total_users,label_Z-score_total_users,label_outlier_total_users,Z-score_total_dropped_packets,label_Z-score_total_dropped_packets,label_outlier_total_dropped_packets,Z-score_enodeb_connected_count,label_Z-score_enodeb_connected_count,label_outlier_enodeb_connected_count,Z-score_enodeb_connection_status,label_Z-score_enodeb_connection_status,label_outlier_enodeb_connection_status
0,BETAZRPDCOR001,2022-03-01 14:55:27,2,0,45751,0,0,0,0,0,0,1,2,33.3333,-0.790741272173117,0,0,0,2022-03-01 14:55:27,1.5992249882066623,0,0,-0.0942616374267396,0,0,-0.09084397386587154,0,0,-0.20554898941393482,0,0,0.7342836885095885,0,0,-0.7342836885095885,0,0,0.7342836885096611,0,0
1,BETAZRPDCOR001,2022-03-01 15:16:59,2,0,45901,0,0,0,0,0,0,1,2,33.3333,-0.7803513463794454,0,0,0,2022-03-01 15:16:59,1.5992249882066623,0,0,-0.0942616374267396,0,0,-0.09084397386587154,0,0,-0.20554898941393482,0,0,0.7342836885095885,0,0,-0.7342836885095885,0,0,0.7342836885096611,0,0
2,BETAZRPDCOR001,2022-03-01 15:18:01,2,0,45901,0,0,0,0,0,0,1,2,33.3333,-0.7803513463794454,0,0,0,2022-03-01 15:18:01,1.5992249882066623,0,0,-0.0942616374267396,0,0,-0.09084397386587154,0,0,-0.20554898941393482,0,0,0.7342836885095885,0,0,-0.7342836885095885,0,0,0.7342836885096611,0,0
3,BETAZRPDCOR001,2022-03-01 15:24:02,2,0,45921,0,0,0,0,0,0,1,2,33.3333,-0.7789660229402892,0,0,0,2022-03-01 15:24:02,1.5992249882066623,0,0,-0.0942616374267396,0,0,-0.09084397386587154,0,0,-0.20554898941393482,0,0,0.7342836885095885,0,0,-0.7342836885095885,0,0,0.7342836885096611,0,0
4,BETAZRPDCOR001,2022-03-01 15:30:02,2,0,45940,0,0,0,0,0,0,1,2,33.3333,-0.7776499656730907,0,0,0,2022-03-01 15:30:02,1.5992249882066623,0,0,-0.0942616374267396,0,0,-0.09084397386587154,0,0,-0.20554898941393482,0,0,0.7342836885095885,0,0,-0.7342836885095885,0,0,0.7342836885096611,0,0
5,BETAZRPDCOR001,2022-03-01 15:36:02,2,0,45980,0,0,0,0,0,0,1,2,33.3333,-0.7748793187947783,0,0,0,2022-03-01 15:36:02,1.5992249882066623,0,0,-0.0942616374267396,0,0,-0.09084397386587154,0,0,-0.20554898941393482,0,0,0.7342836885095885,0,0,-0.7342836885095885,0,0,0.7342836885096611,0,0
6,BETAZRPDCOR001,2022-03-01 15:42:01,2,0,46003,0,0,0,0,0,0,1,2,33.3333,-0.7732861968397486,0,0,0,2022-03-01 15:42:01,1.5992249882066623,0,0,-0.0942616374267396,0,0,-0.09084397386587154,0,0,-0.20554898941393482,0,0,0.7342836885095885,0,0,-0.7342836885095885,0,0,0.7342836885096611,0,0
7,BETAZRPDCOR001,2022-03-01 15:48:02,2,0,37907,0,0,0,0,0,0,1,2,33.3333,-1.334065125010186,0,0,0,2022-03-01 15:48:02,1.5992249882066623,0,0,-0.0942616374267396,0,0,-0.09084397386587154,0,0,-0.20554898941393482,0,0,0.7342836885095885,0,0,-0.7342836885095885,0,0,0.7342836885096611,0,0
8,BETAZRPDCOR001,2022-03-01 15:54:01,2,0,46049,0,0,0,0,0,0,1,2,33.3333,-0.7700999529296894,0,0,0,2022-03-01 15:54:01,1.5992249882066623,0,0,-0.0942616374267396,0,0,-0.09084397386587154,0,0,-0.20554898941393482,0,0,0.7342836885095885,0,0,-0.7342836885095885,0,0,0.7342836885096611,0,0
9,BETAZRPDCOR001,2022-03-01 16:00:02,2,0,46069,0,0,0,0,0,0,1,2,33.3333,-0.7687146294905332,0,0,0,2022-03-01 16:00:02,1.5992249882066623,0,0,-0.0942616374267396,0,0,-0.09084397386587154,0,0,-0.20554898941393482,0,0,0.7342836885095885,0,0,-0.7342836885095885,0,0,0.7342836885096611,0,0
