,client_id,stats_timestamp,total_attached_user,total_rejected_user,peak_upload_speed,peak_download_speed,enodeb_shutdown_count,handover_failure_count,bearer_active_user_count,bearer_rejected_user_count,total_users,total_dropped_packets,enodeb_connected_count,enodeb_connection_status,total_tx_data,total_rx_data
0,BETBEL01GYN001,2022-07-15 00:01:15,0,0,22759,0,0,0,0,0,0,0,0,0.0,,
1,BETBEL01GYN001,2022-07-15 00:03:15,0,0,46675,0,0,0,0,0,0,0,0,0.0,,
2,BETBEL01GYN001,2022-07-15 00:05:15,0,0,31723,0,0,0,0,0,0,0,0,0.0,,
3,BETBEL01GYN001,2022-07-15 00:07:15,0,0,28047,0,0,0,0,0,0,0,0,0.0,,
4,BETBEL01GYN001,2022-07-15 00:09:15,0,0,36621,0,0,0,0,0,0,0,0,0.0,,
5,BETBEL01GYN001,2022-07-15 00:11:15,0,0,26591,0,0,0,0,0,0,0,0,0.0,,
6,BETBEL01GYN001,2022-07-15 00:13:15,0,0,22318,0,0,0,0,0,0,0,0,0.0,,
7,BETBEL01GYN001,2022-07-15 00:15:15,0,0,48739,0,0,0,0,0,0,0,0,0.0,,
8,BETBEL01GYN001,2022-07-15 00:17:16,0,0,47576,0,0,0,0,0,0,0,0,0.0,,
9,BETBEL01GYN001,2022-07-15 00:19:16,0,0,25742,0,0,0,0,0,0,0,0,0.0,,
10,BETBEL01GYN001,2022-07-15 00:21:16,0,0,22690,0,0,0,0,0,0,0,0,0.0,,
11,BETBEL01GYN001,2022-07-15 00:23:16,0,0,26096,0,0,0,0,0,0,0,0,0.0,,
12,BETBEL01GYN001,2022-07-15 00:25:16,0,0,27920,0,0,0,0,0,0,0,0,0.0,,
13,BETBEL01GYN001,2022-07-15 00:27:16,0,0,32048,0,0,0,0,0,0,0,0,0.0,,
14,BETBEL01GYN001,2022-07-15 00:29:16,0,0,26724,0,0,0,0,0,0,0,0,0.0,,
15,BETBEL01GYN001,2022-07-15 00:31:16,0,0,23701,0,0,0,0,0,0,0,0,0.0,,
16,BETBEL01GYN001,2022-07-15 00:33:16,0,0,24563,0,0,0,0,0,0,0,0,0.0,,
17,BETBEL01GYN001,2022-07-15 00:35:16,0,0,26246,0,0,0,0,0,0,0,0,0.0,,
18,BETBEL01GYN001,2022-07-15 00:37:17,0,0,46007,0,0,0,0,0,0,0,0,0.0,,
19,BETBEL01GYN001,2022-07-15 00:39:17,0,0,31679,0,0,0,0,0,0,0,0,0.0,,
